22:09:33  INFO     Run 20260505_220933 | split=split4 | model=MODEL4 | epochs=160 | fraction=0.10 | dropout=0.00 | frozen=0
22:09:33  INFO     Loading paths from data/split4
22:09:33  INFO     [train]
22:09:33  INFO         Music    4689 segments
22:09:34  INFO         Speech   4920 segments
22:09:34  INFO         Other    3671 segments
22:09:34  INFO     [val]
22:09:34  INFO         Music    954 segments
22:09:34  INFO         Speech   1022 segments
22:09:34  INFO         Other    927 segments
22:09:34  INFO     [test]
22:09:34  INFO         Music    1051 segments
22:09:34  INFO         Speech   1196 segments
22:09:34  INFO         Other    584 segments
22:09:34  INFO     Subsampled train set to 1328 files (fraction=0.10)
22:09:34  INFO     Class weights: {'Music': '0.99', 'Speech': '0.87', 'Other': '1.18'}
22:09:34  INFO     Building tf.data pipelines (mel spectrograms computed on-the-fly + cached)...
22:09:37  INFO     MobileNetV2: 154/154 layers trainable
22:09:37  INFO     Training | train=1328  val=2903  epochs=160
22:14:12  INFO     epoch  44 | loss 0.0000 | acc 1.0000 | val_loss 0.3894 | val_acc 0.9556 | 2.7s
22:14:15  INFO     epoch  45 | loss 0.0000 | acc 1.0000 | val_loss 0.3608 | val_acc 0.9573 | 2.7s
22:14:18  INFO     epoch  46 | loss 0.0000 | acc 1.0000 | val_loss 0.3349 | val_acc 0.9597 | 2.8s
22:14:22  INFO     epoch  47 | loss 0.0000 | acc 1.0000 | val_loss 0.3117 | val_acc 0.9621 | 2.7s
22:14:25  INFO     epoch  48 | loss 0.0000 | acc 1.0000 | val_loss 0.2910 | val_acc 0.9638 | 2.7s
22:14:28  INFO     epoch  49 | loss 0.0000 | acc 1.0000 | val_loss 0.2728 | val_acc 0.9656 | 2.7s
22:14:31  INFO     epoch  50 | loss 0.0000 | acc 1.0000 | val_loss 0.2570 | val_acc 0.9680 | 2.8s
22:14:34  INFO     epoch  51 | loss 0.0000 | acc 1.0000 | val_loss 0.2432 | val_acc 0.9704 | 2.7s
22:14:37  INFO     epoch  52 | loss 0.0000 | acc 1.0000 | val_loss 0.2311 | val_acc 0.9714 | 2.7s
22:14:41  INFO     epoch  53 | loss 0.0000 | acc 1.0000 | val_loss 0.2204 | val_acc 0.9728 | 2.7s
22:14:44  INFO     epoch  54 | loss 0.0000 | acc 1.0000 | val_loss 0.2108 | val_acc 0.9731 | 2.7s
22:14:47  INFO     epoch  55 | loss 0.0000 | acc 1.0000 | val_loss 0.2024 | val_acc 0.9742 | 2.8s
22:14:50  INFO     epoch  56 | loss 0.0000 | acc 1.0000 | val_loss 0.1951 | val_acc 0.9755 | 2.7s
22:14:53  INFO     epoch  57 | loss 0.0000 | acc 1.0000 | val_loss 0.1886 | val_acc 0.9773 | 2.8s
22:14:57  INFO     epoch  58 | loss 0.0000 | acc 1.0000 | val_loss 0.1830 | val_acc 0.9780 | 2.7s
22:15:00  INFO     epoch  59 | loss 0.0000 | acc 1.0000 | val_loss 0.1780 | val_acc 0.9797 | 2.8s
22:15:03  INFO     epoch  60 | loss 0.0000 | acc 1.0000 | val_loss 0.1736 | val_acc 0.9811 | 2.8s
22:15:06  INFO     epoch  61 | loss 0.0000 | acc 1.0000 | val_loss 0.1697 | val_acc 0.9811 | 2.8s
22:15:09  INFO     epoch  62 | loss 0.0000 | acc 1.0000 | val_loss 0.1662 | val_acc 0.9814 | 2.8s
22:15:12  INFO     epoch  63 | loss 0.0000 | acc 1.0000 | val_loss 0.1630 | val_acc 0.9814 | 2.7s
22:15:15  INFO     epoch  64 | loss 0.0000 | acc 1.0000 | val_loss 0.1600 | val_acc 0.9814 | 2.8s
